@relation 'mario-weka.filters.unsupervised.attribute.Remove-R2-3,5-6-weka.filters.unsupervised.attribute.Remove-R2_clustered'

@attribute Instance_number numeric
@attribute enemigoDelante {0,1}
@attribute monedaEncima {0,1}
@attribute bloqueEncima {0,1}
@attribute obstaculoDelante {0,1}
@attribute left {Si,No}
@attribute right {Si,No}
@attribute down {Si,No}
@attribute jump {Si,No}
@attribute speed {Si,No}
@attribute up {Si,No}
@attribute Puntuacion+Distancia numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,0,0,0,0,No,Si,No,No,No,No,24,cluster0
1,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
2,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
3,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
4,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
5,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
6,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
7,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
8,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
9,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
10,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
11,0,0,0,0,No,Si,No,Si,No,No,46,cluster0
12,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
13,0,0,0,0,No,Si,No,Si,No,No,48,cluster0
14,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
15,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
16,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
17,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
18,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
19,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
20,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
21,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
22,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
23,1,0,0,0,No,Si,No,No,No,No,52,cluster1
24,1,0,0,0,No,Si,No,Si,No,No,53,cluster1
25,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
26,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
27,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
28,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
29,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
30,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
31,0,0,0,0,No,Si,No,Si,No,No,34,cluster0
32,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
33,0,0,0,0,No,Si,No,Si,No,No,29,cluster0
34,0,0,0,0,No,Si,No,Si,No,No,42,cluster0
35,0,0,0,0,No,Si,No,Si,No,No,40,cluster0
36,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
37,0,0,0,0,No,Si,No,Si,No,No,40,cluster0
38,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
39,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
40,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
41,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
42,0,0,0,0,No,Si,No,No,No,No,41,cluster0
43,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
44,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
45,0,0,0,0,No,Si,No,Si,No,No,32,cluster0
46,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
47,0,0,0,1,No,Si,No,Si,No,No,40,cluster3
48,0,0,0,1,No,Si,No,Si,No,No,37,cluster3
49,0,0,0,1,No,Si,No,No,No,No,35,cluster3
50,0,0,0,1,No,Si,No,Si,No,No,37,cluster3
51,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
52,0,0,0,0,No,Si,No,Si,No,No,42,cluster0
53,0,0,0,1,No,Si,No,Si,No,No,45,cluster3
54,0,0,0,1,No,Si,No,Si,No,No,32,cluster3
55,0,0,0,1,No,Si,No,Si,No,No,52,cluster3
56,0,0,0,0,No,Si,No,Si,No,No,40,cluster0
57,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
58,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
59,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
60,0,0,1,0,No,Si,No,Si,No,No,51,cluster2
61,0,0,1,0,No,Si,No,Si,No,No,54,cluster2
62,0,0,1,0,No,Si,No,Si,No,No,55,cluster2
63,0,0,1,0,No,Si,No,Si,No,No,57,cluster2
64,0,0,1,0,No,Si,No,Si,No,No,59,cluster2
65,0,0,1,0,No,Si,No,Si,No,No,44,cluster2
66,0,0,1,0,No,Si,No,Si,No,No,45,cluster2
67,0,0,1,0,No,Si,No,Si,No,No,46,cluster2
68,0,0,1,0,No,Si,No,Si,No,No,47,cluster2
69,0,0,1,0,No,Si,No,Si,No,No,48,cluster2
70,0,0,1,0,No,Si,No,Si,No,No,49,cluster2
71,0,0,1,0,No,Si,No,No,No,No,49,cluster2
72,0,0,1,0,No,Si,No,Si,No,No,50,cluster2
73,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
74,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
75,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
76,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
77,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
78,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
79,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
80,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
81,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
82,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
83,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
84,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
85,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
86,0,0,0,0,No,Si,No,Si,No,No,-458,cluster0
87,0,0,0,0,No,Si,No,No,No,No,24,cluster0
88,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
89,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
90,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
91,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
92,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
93,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
94,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
95,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
96,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
97,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
98,0,0,0,0,No,Si,No,Si,No,No,46,cluster0
99,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
100,0,0,0,0,No,Si,No,Si,No,No,48,cluster0
101,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
102,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
103,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
104,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
105,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
106,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
107,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
108,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
109,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
110,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
111,0,0,0,0,No,Si,No,No,No,No,53,cluster0
112,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
113,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
114,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
115,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
116,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
117,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
118,0,0,0,0,No,Si,No,Si,No,No,63,cluster0
119,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
120,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
121,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
122,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
123,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
124,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
125,0,0,0,0,No,Si,No,Si,No,No,64,cluster0
126,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
127,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
128,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
129,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
130,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
131,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
132,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
133,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
134,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
135,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
136,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
137,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
138,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
139,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
140,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
141,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
142,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
143,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
144,0,0,0,0,No,Si,No,No,No,No,55,cluster0
145,0,0,0,1,No,Si,No,Si,No,No,54,cluster3
146,0,0,0,0,No,Si,No,Si,No,No,71,cluster0
147,0,0,0,0,No,Si,No,Si,No,No,70,cluster0
148,0,0,1,0,No,Si,No,Si,No,No,71,cluster2
149,0,0,1,0,No,Si,No,Si,No,No,70,cluster2
150,0,0,1,0,No,Si,No,Si,No,No,71,cluster2
151,0,1,0,0,No,Si,No,Si,No,No,71,cluster4
152,0,1,0,0,No,Si,No,Si,No,No,70,cluster4
153,0,1,0,0,No,Si,No,Si,No,No,71,cluster4
154,0,1,0,0,No,Si,No,Si,No,No,70,cluster4
155,0,1,0,0,No,Si,No,Si,No,No,71,cluster4
156,0,1,0,0,No,Si,No,Si,No,No,54,cluster4
157,0,0,1,0,No,Si,No,Si,No,No,55,cluster2
158,0,0,1,0,No,Si,No,Si,No,No,54,cluster2
159,0,0,1,0,No,Si,No,Si,No,No,55,cluster2
160,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
161,0,0,0,0,No,Si,No,No,No,No,52,cluster0
162,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
163,0,0,0,0,No,Si,No,No,No,No,41,cluster0
164,0,0,0,0,No,Si,No,Si,No,No,36,cluster0
165,0,0,0,0,No,Si,No,Si,No,No,30,cluster0
166,0,0,0,0,No,Si,No,Si,No,No,25,cluster0
167,0,0,0,0,No,Si,No,Si,No,No,20,cluster0
168,0,0,0,0,No,Si,No,Si,No,No,17,cluster0
169,0,0,0,0,No,Si,No,Si,No,No,13,cluster0
170,0,0,0,1,No,Si,No,Si,No,No,10,cluster3
171,0,0,0,1,No,Si,No,Si,No,No,10,cluster3
172,0,0,0,1,No,Si,No,Si,No,No,23,cluster3
173,0,0,0,0,No,Si,No,Si,No,No,26,cluster0
174,0,0,0,0,No,Si,No,Si,No,No,30,cluster0
175,0,0,0,0,No,Si,No,Si,No,No,34,cluster0
176,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
177,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
178,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
179,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
180,0,0,0,0,No,Si,No,Si,No,No,48,cluster0
181,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
182,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
183,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
184,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
185,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
186,0,0,0,0,No,Si,No,Si,No,No,46,cluster0
187,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
188,0,0,0,0,No,Si,No,Si,No,No,58,cluster0
189,0,0,0,0,No,Si,No,Si,No,No,59,cluster0
190,0,0,0,0,No,Si,No,Si,No,No,59,cluster0
191,0,0,0,0,No,Si,No,Si,No,No,60,cluster0
192,0,0,0,0,No,Si,No,Si,No,No,61,cluster0
193,0,0,0,0,No,Si,No,Si,No,No,61,cluster0
194,0,0,0,0,No,Si,No,Si,No,No,61,cluster0
195,0,0,0,0,No,Si,No,Si,No,No,61,cluster0
196,0,0,0,0,No,Si,No,Si,No,No,62,cluster0
197,0,0,0,0,No,Si,No,Si,No,No,62,cluster0
198,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
199,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
200,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
201,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
202,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
203,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
204,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
205,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
206,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
207,0,0,0,0,No,Si,No,Si,No,No,-467,cluster0
208,0,0,0,0,No,Si,No,No,No,No,24,cluster0
209,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
210,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
211,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
212,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
213,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
214,0,0,0,0,No,Si,No,Si,No,No,39,cluster0
215,0,0,0,0,No,Si,No,Si,No,No,41,cluster0
216,0,0,0,0,No,Si,No,Si,No,No,43,cluster0
217,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
218,0,0,0,0,No,Si,No,Si,No,No,45,cluster0
219,0,0,0,0,No,Si,No,Si,No,No,46,cluster0
220,0,0,0,0,No,Si,No,Si,No,No,47,cluster0
221,0,0,0,0,No,Si,No,Si,No,No,48,cluster0
222,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
223,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
224,0,0,0,0,No,Si,No,Si,No,No,50,cluster0
225,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
226,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
227,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
228,0,0,0,0,No,Si,No,Si,No,No,51,cluster0
229,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
230,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
231,0,0,0,0,No,Si,No,Si,No,No,52,cluster0
232,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
233,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
234,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
235,0,0,0,0,No,Si,No,No,No,No,53,cluster0
236,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
237,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
238,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
239,0,0,0,0,No,Si,No,Si,No,No,53,cluster0
240,0,0,0,0,No,Si,No,Si,No,No,54,cluster0
241,0,0,0,0,No,Si,No,Si,No,No,86,cluster0
242,0,0,0,0,No,Si,No,Si,No,No,86,cluster0
243,0,0,0,0,No,Si,No,Si,No,No,86,cluster0
244,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
245,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
246,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
247,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
248,0,0,0,0,No,Si,No,Si,No,No,102,cluster0
249,0,0,1,0,No,Si,No,Si,No,No,103,cluster2
250,0,0,1,0,No,Si,No,Si,No,No,102,cluster2
251,0,0,1,0,No,Si,No,No,No,No,71,cluster2
252,0,0,0,0,No,Si,No,Si,No,No,70,cluster0
253,0,0,0,0,No,Si,No,Si,No,No,70,cluster0
254,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
255,0,1,0,0,No,Si,No,Si,No,No,54,cluster4
256,0,1,0,0,No,Si,No,Si,No,No,55,cluster4
257,0,1,0,0,No,Si,No,Si,No,No,54,cluster4
258,0,0,0,0,No,Si,No,Si,No,No,55,cluster0
259,0,0,0,0,No,Si,No,Si,No,No,49,cluster0
260,0,0,0,0,No,Si,No,Si,No,No,44,cluster0
261,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
262,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
263,0,0,0,0,No,Si,No,Si,No,No,29,cluster0
264,0,0,0,0,No,Si,No,Si,No,No,25,cluster0
265,0,0,0,0,No,Si,No,Si,No,No,22,cluster0
266,0,0,0,0,No,Si,No,Si,No,No,18,cluster0
267,0,0,0,1,No,Si,No,Si,No,No,16,cluster3
268,0,0,0,1,No,Si,No,Si,No,No,13,cluster3
269,0,0,0,1,No,Si,No,No,No,No,16,cluster3
270,0,0,0,1,No,Si,No,Si,No,No,20,cluster3
271,0,0,0,0,No,Si,No,Si,No,No,24,cluster0
272,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
273,0,0,0,0,No,Si,No,Si,No,No,31,cluster0
274,0,0,0,0,No,Si,No,Si,No,No,33,cluster0
275,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
276,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
277,0,0,0,0,No,Si,No,Si,No,No,38,cluster0
278,0,0,0,0,No,Si,No,Si,No,No,35,cluster0
279,0,0,0,0,No,Si,No,Si,No,No,32,cluster0
280,0,0,0,0,No,Si,No,Si,No,No,28,cluster0
281,0,0,0,0,No,Si,No,Si,No,No,25,cluster0
